Order_ID,Product_Name,Category,Price,Quantity,Date
ORD0001,T-Shirt,Clothing,388.85,5,2024-05-05
ORD0002,Cooking Oil,Food,,7,2024-08-25
ORD0003,Rice Bag,Food,12.67,2,2024-03-22
ORD0004,Tablet,Electronics,476.09,5,2024-11-18
ORD0005,Earbuds,Electronics,447.87,15,2024-07-31
ORD0006,Cooking Oil,Food,93.14,18,2024-04-14
ORD0007,Pasta,Food,68.58,8,2024-12-12
ORD0008,Jacket,Clothing,81.63,12,2024-04-12
ORD0009,Cereal,Food,23.0,2,2024-08-20
ORD0010,Jacket,Clothing,385.83,19,2024-12-12
ORD0011,Cereal,Food,282.92,4,2024-03-13
ORD0012,Sneakers,Clothing,71.88,20,2024-10-12
ORD0013,Comic,Books,450.87,12,2024-11-12
ORD0014,Cooking Oil,Food,498.38,14,2024-05-06
ORD0015,Laptop,Electronics,273.6,4,2024-08-29
ORD0016,Novel,Books,90.28,8,2024-07-10
ORD0017,Phone,Electronics,255.18,20,2024-06-07
ORD0018,Rice Bag,Food,420.71,13,2024-09-15
ORD0019,Textbook,Books,64.68,15,2024-07-10
ORD0020,Earbuds,Electronics,15.44,10,2024-02-20
ORD0021,Pasta,Food,,9,2024-04-19
ORD0022,Pasta,Food,63.86,18,2024-08-01
ORD0023,Rice Bag,Food,327.72,10,2024-07-30
ORD0024,Novel,Books,188.73,12,2024-03-19
ORD0025,Jeans,Clothing,55.23,,2024-05-03
ORD0026,Cooking Oil,Food,344.27,4,2024-08-30
ORD0027,Jeans,Clothing,33.87,20,2024-10-02
ORD0028,Sneakers,Clothing,38.86,13,2024-02-09
ORD0029,Journal,Books,74.33,11,2024-01-12
ORD0030,Textbook,Books,60.48,8,2024-06-08
ORD0031,Textbook,Books,211.15,18,2024-11-29
ORD0032,Tablet,Electronics,412.74,9,2024-12-29
ORD0033,Cooking Oil,Food,177.54,9,2024-02-18
ORD0034,Textbook,Books,256.16,5,2024-06-06
ORD0035,Journal,Books,376.32,16,2024-12-14
ORD0036,Pasta,Food,297.07,11,2024-02-19
ORD0037,Phone,Electronics,303.37,13,2024-02-15
ORD0038,Journal,Books,,3,2024-03-20
ORD0039,T-Shirt,Clothing,145.82,5,2024-09-20
ORD0040,Pasta,Food,201.23,17,2024-10-18
ORD0041,Phone,Electronics,439.49,19,2024-03-25
ORD0042,Laptop,Electronics,27.11,6,2024-05-02
ORD0043,Jeans,Clothing,245.33,2,2024-09-09
ORD0044,Phone,Electronics,314.7,2,2024-01-27
ORD0045,Laptop,Electronics,,1,2024-09-20
ORD0046,Tablet,Electronics,449.97,4,2024-12-01
ORD0047,Cereal,Food,349.68,10,2024-08-31
ORD0048,Tablet,Electronics,414.39,18,2024-05-28
ORD0049,Textbook,Books,407.33,19,2024-06-22
ORD0050,Journal,Books,491.81,18,2024-10-17
ORD0051,Rice Bag,Food,160.98,9,2024-02-03
ORD0052,Earbuds,Electronics,388.68,13,2024-07-20
ORD0053,Rice Bag,Food,173.82,15,2024-05-31
ORD0054,Phone,Electronics,281.5,16,2024-04-03
ORD0055,Rice Bag,Food,327.23,14,2024-04-22
ORD0056,Tablet,Electronics,337.95,3,2024-10-05
ORD0057,Jeans,Clothing,441.96,7,2024-08-05
ORD0058,Sneakers,Clothing,252.18,9,2024-11-06
ORD0059,Cereal,Food,341.83,5,2024-01-24
ORD0060,Phone,Electronics,365.44,14,2024-04-04
ORD0061,Textbook,Books,,8,2024-03-05
ORD0062,Cereal,Food,262.2,3,2024-09-11
ORD0063,Laptop,Electronics,24.15,1,2024-09-14
ORD0064,Cooking Oil,Food,125.11,14,2024-09-02
ORD0065,Sneakers,Clothing,226.26,17,2024-06-02
ORD0066,T-Shirt,Clothing,469.89,14,2024-08-13
ORD0067,T-Shirt,Clothing,117.22,7,2024-06-17
ORD0068,Cooking Oil,Food,457.16,2,2024-04-23
ORD0069,Earbuds,Electronics,351.85,,2024-02-19
ORD0070,Cooking Oil,Food,491.78,7,2024-01-21
ORD0071,Earbuds,Electronics,236.51,1,2024-07-31
ORD0072,Phone,Electronics,378.7,15,2024-08-26
ORD0073,Tablet,Electronics,148.75,18,2024-04-25
ORD0074,Pasta,Food,56.33,13,2024-01-21
ORD0075,Tablet,Electronics,499.27,5,2024-11-15
ORD0076,Jacket,Clothing,84.66,19,2024-08-24
ORD0077,Tablet,Electronics,400.44,3,2024-04-07
ORD0078,Laptop,Electronics,123.44,1,2024-09-11
ORD0079,Sneakers,Clothing,199.38,3,2024-08-25
ORD0080,Pasta,Food,322.53,4,2024-07-09
ORD0081,T-Shirt,Clothing,272.69,7,2024-05-10
ORD0082,Rice Bag,Food,328.76,6,2024-08-09
ORD0083,Tablet,Electronics,136.25,17,2024-05-19
ORD0084,Laptop,Electronics,355.54,1,2024-01-17
ORD0085,Phone,Electronics,247.11,12,2024-02-18
ORD0086,Pasta,Food,160.37,4,2024-08-10
ORD0087,Phone,Electronics,426.84,19,2024-12-01
ORD0088,Cooking Oil,Food,364.79,9,2024-02-24
ORD0089,Comic,Books,293.61,8,2024-11-24
ORD0090,Phone,Electronics,250.04,11,2024-10-07
ORD0091,Earbuds,Electronics,361.92,2,2024-09-12
ORD0092,Textbook,Books,449.95,7,2024-03-05
ORD0093,Earbuds,Electronics,246.07,13,2024-04-14
ORD0094,Jacket,Clothing,480.38,11,2024-05-10
ORD0095,Earbuds,Electronics,208.79,2,2024-07-23
ORD0096,Jacket,Clothing,479.82,10,2024-04-23
ORD0097,Earbuds,Electronics,217.15,6,2024-08-06
ORD0098,Rice Bag,Food,383.73,4,2024-05-04
ORD0099,Rice Bag,Food,453.23,9,2024-03-22
ORD0100,Journal,Books,324.45,8,2024-04-15
ORD0101,Pasta,Food,29.23,7,2024-01-12
ORD0102,Jeans,Clothing,373.77,3,2024-12-21
ORD0103,Laptop,Electronics,159.28,13,2024-03-21
ORD0104,Novel,Books,,2,2024-04-01
ORD0105,Journal,Books,482.25,14,2024-10-17
ORD0106,Jeans,Clothing,66.59,13,2024-12-06
ORD0107,Journal,Books,348.02,15,2024-06-05
ORD0108,T-Shirt,Clothing,146.99,20,2024-02-10
ORD0109,Tablet,Electronics,347.59,20,2024-04-12
ORD0110,Cereal,Food,494.21,11,2024-09-28
ORD0111,Novel,Books,358.5,1,2024-11-28
ORD0112,Textbook,Books,36.2,20,2024-10-12
ORD0113,Earbuds,Electronics,394.71,16,2024-04-12
ORD0114,Tablet,Electronics,394.95,1,2024-08-11
ORD0115,Sneakers,Clothing,269.96,13,2024-05-21
ORD0116,Jeans,Clothing,,5,2024-03-31
ORD0117,Cooking Oil,Food,36.34,5,2024-04-26
ORD0118,Journal,Books,429.08,17,2024-12-18
ORD0119,Journal,Books,473.03,16,2024-09-25
ORD0120,Journal,Books,95.53,10,2024-02-02
ORD0121,Phone,Electronics,341.99,14,2024-04-09
ORD0122,Sneakers,Clothing,470.25,17,2024-06-01
ORD0123,Comic,Books,96.96,10,2024-02-24
ORD0124,Textbook,Books,219.99,15,2024-10-22
ORD0125,Tablet,Electronics,107.55,19,2024-01-12
ORD0126,Rice Bag,Food,446.5,12,2024-12-09
ORD0127,Cereal,Food,250.31,17,2024-02-06
ORD0128,Textbook,Books,258.81,19,2024-03-21
ORD0129,Comic,Books,109.51,9,2024-10-11
ORD0130,Cereal,Food,348.22,19,2024-11-21
ORD0131,Phone,Electronics,468.38,2,2024-04-13
ORD0132,Cooking Oil,Food,434.69,8,2024-07-29
ORD0133,Sneakers,Clothing,,17,2024-04-12
ORD0134,Phone,Electronics,15.58,15,2024-11-13
